Group,Mean CSD Amplitude (µV/m²),Max CSD Amplitude (µV/m²),Std Dev CSD (µV/m²),Motor CSD Activity,Frontal CSD Activity,Delta CSD,Theta CSD,Alpha CSD,Beta CSD,Gamma CSD
1,5958.679627522636,159174.27941069496,8790.748781041084,5042.56859103637,6065.181512194377,11068540.554767238,2777226.358872813,1958249.5781540624,672480.987780604,80344.69449391085
1,3297.924180303605,177477.09881071825,4256.4366932043895,3164.698808194295,3438.942411258938,2336191.0615559313,483302.0958125967,391753.4228945649,264008.5841518597,22659.93948767858
1,4167.566479772552,167314.26688114964,5918.524628913734,3509.552597520923,3658.6944503850027,5440714.351874588,707760.1512809743,738303.419209983,428505.5979397894,28448.636653744248
1,3220.18835140729,143074.25933973506,4460.085739176985,2980.30102413447,2853.3031482441556,2362127.010232594,675904.7327538037,449589.6024530839,323790.9592029681,16619.91174390652
1,4775.189504864855,389451.91056967084,6831.76159163474,3834.175358333623,4454.122628505348,4936796.589366723,1283830.6710848575,873560.1410724523,927055.200339979,66020.61844758704
1,5548.952828879188,588877.1542000457,13838.599742692528,4098.225643296142,6337.305488738677,50143608.72616153,1349187.2413235377,443016.57998097944,685983.5744951864,44165.12613639441
1,3058.2780007061892,110854.78551903038,4022.6782530196583,2973.023803609388,2888.4215882851945,2094779.387243376,484334.71589771175,503971.3680247083,218470.52135999588,10693.90866387802
1,3358.333926739219,84395.59043900498,4677.789145415979,2957.0023763885156,3679.965119175811,3897915.368298035,392945.9369557979,548392.6610767313,170565.25748152775,8642.116680001425
1,4292.341378700272,49916.32016602833,5551.719570714679,4411.821091661052,4934.480905974862,1764954.8370995773,1013034.7825860992,1324320.3836454116,755297.3887940084,16477.3465677357
1,3246.1786451046164,399512.2546391154,5890.416060449802,2861.9175260249626,3763.084505415149,7946561.166940106,439520.5980448511,191587.36347047603,178765.66988774744,19977.296809113664
1,4742.7355493833165,148782.38865836465,6742.71348997952,3399.949335200255,4555.023242848757,6398464.545852592,990576.3763731854,809105.9102286787,668839.46228219,61574.16373349089
1,3719.056387435909,129235.3158711268,5401.365596445602,3316.509699151928,4074.0713504773307,4378334.934566399,610662.1537301727,602047.3318280492,420821.0155478065,22988.259417187437
1,4020.857607931109,763469.1399024618,6953.763783720085,3618.550265929676,5028.143852971453,4008594.4754568255,713315.4121859963,477159.83607226214,731025.0192942888,54815.65054928072
1,2963.028467899737,168544.11014056156,4676.1278817417815,2160.249706811793,2741.108741585552,3324234.401721532,589177.9240154263,263008.3762659186,282080.439315622,27050.303900294144
1,5065.671545431749,156398.08850490232,8212.609654566868,4309.352504648723,5750.5111882123365,16581291.485640004,560460.6511468317,401160.25573047873,181522.88448024547,13521.444538765441
1,5653.312378837633,641152.7477146426,10542.153739614863,4603.180740834481,5096.7319260931745,25347802.840411067,1050710.124579574,1247804.85791556,556213.5045669138,55602.687096112146
1,4406.301481328813,58533.95399634416,5773.103183855122,3792.772955015892,4951.0276146744,2789417.307437239,870130.9298640103,1325259.1427444834,622779.9204224922,40674.15640520483
1,2837.933719783429,130233.05778193075,3800.108538795118,3125.0343219259803,2851.008932064728,2092165.6905732325,349871.3426337223,344173.85503037256,195457.3424629417,10976.065779561048
1,2802.585651777374,248039.24146340066,4487.9753078284675,2335.6124665025786,2490.8925433524496,2671949.5091854455,251611.8273878094,179981.57130272343,322496.4346370441,43324.00426296598
1,6053.277066498908,435133.04448179156,9795.558773216779,4173.721008033257,6853.487281834884,17111361.63523979,1776392.3382879198,846031.8948724936,1043467.3490199384,98793.34505497958
